url,name,ticker
https://www.screener.in/company/3MINDIA/,3M India,3MINDIA
https://www.screener.in/company/505685/,Taparia Tools,505685
https://www.screener.in/company/509953/consolidated/,Trade-Wings,509953
https://www.screener.in/company/512047/,Royal India Corp,512047
https://www.screener.in/company/544796/,Liotech Ind.,544796
https://www.screener.in/company/509449/,Bhagawati Oxygen,509449
https://www.screener.in/company/544291/,Rajesh Power,544291
https://www.screener.in/company/SIGMA/consolidated/,Sigma Solve,SIGMA
https://www.screener.in/company/530037/,Sparkle GoldRock,530037
https://www.screener.in/company/519463/,IB Infotech,519463
https://www.screener.in/company/KERNEX/consolidated/,Kernex Microsys.,KERNEX
https://www.screener.in/company/SHEKHAWATI/,Shekhawati Inds,SHEKHAWATI
https://www.screener.in/company/id/1286024/,Jivial Industrie,id
https://www.screener.in/company/MARICO/consolidated/,Marico,MARICO
https://www.screener.in/company/531395/,Padam Cotton,531395
https://www.screener.in/company/543924/,Sonalis Consumer,543924
https://www.screener.in/company/SAFEENTP/consolidated/,Safe Enterprises,SAFEENTP
https://www.screener.in/company/CAMS/consolidated/,Cams Services,CAMS
https://www.screener.in/company/CPEDU/,Career Point Edu,CPEDU
https://www.screener.in/company/SUNLITE/,Sunlite Recycli.,SUNLITE
https://www.screener.in/company/544797/,Leapfrog Engg.,544797
https://www.screener.in/company/508961/,Shricon Indus.,508961
https://www.screener.in/company/IRCTC/,I R C T C,IRCTC
https://www.screener.in/company/505504/,GHV Infra,505504
https://www.screener.in/company/GJL/,Grover Jewells,GJL
https://www.screener.in/company/544779/consolidated/,UHM Vacation,544779
https://www.screener.in/company/544770/,Yaashvi Jewellers,544770
https://www.screener.in/company/539288/,AVI Polymers,539288
https://www.screener.in/company/EPWINDIA/consolidated/,EPW India,EPWINDIA
https://www.screener.in/company/513575/,Sterling Powerg.,513575
https://www.screener.in/company/OFSS/consolidated/,Oracle Fin.Serv.,OFSS
https://www.screener.in/company/531472/consolidated/,Cybele Industrie,531472
https://www.screener.in/company/ATLANTAELE/consolidated/,Atlanta Electric,ATLANTAELE
https://www.screener.in/company/544406/,Unified Data,544406
https://www.screener.in/company/ABBOTINDIA/,Abbott India,ABBOTINDIA
https://www.screener.in/company/EMMVEE/consolidated/,Emmvee Photovol.,EMMVEE
https://www.screener.in/company/544648/,Unisem Agritech,544648
https://www.screener.in/company/530805/,Onesource Indus.,530805
https://www.screener.in/company/NAM-INDIA/consolidated/,Nippon Life Ind.,NAM-INDIA
https://www.screener.in/company/530249/,Bridge Securitie,530249
https://www.screener.in/company/ANONDITA/consolidated/,Anondita Medi.,ANONDITA
https://www.screener.in/company/CONNPLEX/,Connplex Cinemas,CONNPLEX
https://www.screener.in/company/ALPEXSOLAR/consolidated/,Alpex Solar,ALPEXSOLAR
https://www.screener.in/company/544330/,Parmeshwar Metal,544330
https://www.screener.in/company/526269/,Crestchem,526269
https://www.screener.in/company/GRSE/,Garden Reach Sh.,GRSE
https://www.screener.in/company/HDFCAMC/,HDFC AMC,HDFCAMC
https://www.screener.in/company/SAVY/,Savy Infra,SAVY
https://www.screener.in/company/OMPOWER/,Om Power Transmission,OMPOWER
https://www.screener.in/company/ARIHANTACA/,Arihant Academy,ARIHANTACA
https://www.screener.in/company/538786/,Citizen Infoline,538786
https://www.screener.in/company/HINDCOPPER/,Hindustan Copper,HINDCOPPER
https://www.screener.in/company/TRAVELFOOD/consolidated/,Travel Food,TRAVELFOOD
https://www.screener.in/company/CALSOFT/consolidated/,California Soft.,CALSOFT
https://www.screener.in/company/DIXON/consolidated/,Dixon Technolog.,DIXON
https://www.screener.in/company/544337/,Avax Apparels,544337
https://www.screener.in/company/GARUDA/,Garuda Cons,GARUDA
https://www.screener.in/company/534535/consolidated/,String Metaverse,534535
https://www.screener.in/company/VMARCIND/,V-Marc India,VMARCIND
https://www.screener.in/company/538812/,Aanchal Ispat,538812
https://www.screener.in/company/APEXECO/,Apex Ecotech,APEXECO
https://www.screener.in/company/TEAMTECH/,Teamtech Formwork,TEAMTECH
https://www.screener.in/company/544773/,Merritronix,544773
https://www.screener.in/company/526727/,Garnet Construct,526727
https://www.screener.in/company/VICTORYEV/,Victory Ele.,VICTORYEV
https://www.screener.in/company/HAWKINCOOK/,Hawkins Cookers,HAWKINCOOK
https://www.screener.in/company/TECHD/,TechD Cybersec.,TECHD
https://www.screener.in/company/GKENERGY/,GK Energy,GKENERGY
